#{"t_start": 1770315348.7284536, "env_id": "None"}
r,l,t
328.1777,300,0.539281
311.231,300,0.53933
301.19006,300,0.53934
366.13083,300,0.539344
300.6051,300,0.641376
353.08795,300,0.641405
306.0746,300,0.641412
333.8938,300,0.641417
293.23605,300,0.758793
345.05383,300,0.758829
330.78873,300,0.758837
299.2803,300,0.758841
333.463,300,0.869108
301.1655,300,0.869147
316.433,300,0.869155
342.90488,300,0.869159
334.36703,300,0.980843
339.50708,300,0.980879
328.28717,300,0.980886
312.299,300,0.98089
322.17825,300,1.10352
326.26297,300,1.103556
285.3192,300,1.103561
338.0397,300,1.103565
344.31015,300,1.607324
312.86942,300,1.607358
316.60782,300,1.607365
306.7937,300,1.607369
351.2927,300,1.723394
348.1388,300,1.723429
335.94604,300,1.723436
360.07697,300,1.72344
363.9253,300,1.834242
356.48065,300,1.83427
354.98105,300,1.834277
342.28085,300,1.834281
373.04453,300,1.953337
356.52795,300,1.953372
361.41638,300,1.953378
360.02002,300,1.953382
343.03635,300,2.0917
389.10666,300,2.091736
357.523,300,2.091743
373.22485,300,2.091747
360.86475,300,2.19311
329.56653,300,2.193142
364.05872,300,2.193149
348.0008,300,2.193154
348.4923,300,2.294591
337.23987,300,2.294621
362.41745,300,2.294628
329.53644,300,2.294632
397.7307,300,2.821882
344.53156,300,2.821919
375.68503,300,2.821926
333.49203,300,2.82193
389.04272,300,2.926517
395.72232,300,2.926554
367.572,300,2.926561
402.88828,300,2.926565
346.06168,300,3.035234
382.94717,300,3.035274
384.86893,300,3.035281
376.11276,300,3.035285
401.92258,300,3.877333
401.593,300,3.877366
362.09857,300,3.877373
387.02667,300,3.877378
368.5618,300,3.989713
374.83765,300,3.989747
395.20618,300,3.989752
388.41672,300,3.989755
380.20615,300,4.119154
424.9005,300,4.119196
392.4712,300,4.119203
402.47293,300,4.119207
381.5148,300,4.224747
374.5351,300,4.224783
392.25922,300,4.22479
394.23825,300,4.224794
429.42737,300,4.834021
408.1072,300,4.834059
402.66708,300,4.834066
382.24896,300,4.83407
423.9014,300,4.94245
437.27045,300,4.942487
416.46313,300,4.942494
395.52554,300,4.942498
428.23813,300,5.051461
407.9033,300,5.051499
418.7899,300,5.051506
423.9546,300,5.05151
411.79373,300,5.153195
415.8432,300,5.153229
428.93573,300,5.153235
415.40338,300,5.153239
399.81238,300,5.253922
437.92853,300,5.253956
433.3117,300,5.253962
429.88702,300,5.253966
423.06693,300,5.374728
409.21524,300,5.374757
431.67133,300,5.374763
438.34387,300,5.374767
410.88748,300,5.48618
417.5623,300,5.48622
390.25928,300,5.486229
414.90396,300,5.486233
405.3129,300,5.994553
427.00653,300,5.994585
436.71024,300,5.994592
440.91544,300,5.994597
431.03683,300,6.110104
443.4147,300,6.110142
425.7985,300,6.110149
462.06366,300,6.110153
438.7231,300,6.210338
434.0712,300,6.210373
417.36484,300,6.210379
429.18845,300,6.210383
422.96692,300,6.310301
408.77716,300,6.31034
378.97095,300,6.310348
443.34674,300,6.310352
462.98206,300,6.410322
430.98825,300,6.410355
435.52432,300,6.410362
419.15158,300,6.410365
441.47604,300,6.511443
422.8715,300,6.511476
426.96674,300,6.511482
434.8295,300,6.511486
438.45517,300,7.348631
413.44513,300,7.348665
465.647,300,7.348671
448.25635,300,7.348675
425.30188,300,7.865245
448.3287,300,7.865279
464.08304,300,7.865286
469.70053,300,7.86529
473.7358,300,7.967893
435.26382,300,7.967927
446.3065,300,7.967933
489.23978,300,7.967937
454.91183,300,8.071077
463.2838,300,8.071108
458.52222,300,8.071114
435.49362,300,8.071118
447.4656,300,8.177161
465.54672,300,8.177193
478.2746,300,8.177199
471.62097,300,8.177204
432.0595,300,8.278822
454.6161,300,8.278856
434.71198,300,8.278862
458.16733,300,8.278866
455.34122,300,8.381928
433.72772,300,8.381962
455.3324,300,8.381968
453.6656,300,8.381971
431.4884,300,8.900681
472.48633,300,8.90071
441.47787,300,8.900717
476.58545,300,8.900721
490.4911,300,9.024811
480.83957,300,9.024846
494.4351,300,9.024854
462.67133,300,9.024858
471.93478,300,9.129043
460.14398,300,9.129072
466.9001,300,9.129078
479.3147,300,9.129082
473.42593,300,9.230867
479.1966,300,9.230899
443.30124,300,9.230905
489.61377,300,9.230909
469.36545,300,9.332579
484.4666,300,9.332615
487.65472,300,9.332623
489.3204,300,9.332627
470.3737,300,9.432889
484.79904,300,9.43292
493.8769,300,9.432926
483.9762,300,9.43293
474.4846,300,9.535675
494.43954,300,9.535707
472.02115,300,9.535714
455.93817,300,9.535718
